ORDER_CRN,EOD_DATE,VENDOR,ORDER_SOURCE,SOURCE,BRAND_NAME,BRAND_CODE,CITY,STORE_CODE,STORE_NAME,ORDER_STATUS,PRODUCT_STATUS,ORDER_LINE_CODE,PRODUCT_DETAIL_CODE,PRODUCT_NAME,PRODUCT_CODE,KITCHEN_DESCRIPTION,ITEM_PRICE,PORTION_UNIT,CONVERSION_VALUE,INVENTORY_ITEM_ID,INVENTORY_ITEM_CODE,INVENTORY_NAME,QTY,INVENTORY_ITEM_PRICE,INVENTORY_ITEM_BASIC_PRICE,IDEALS,IDEAL_WACC,COUNT,PROD_QUANTITY,STATE,Area Manager,Zonal Manager
10000000000001,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Delhi,ST101,Laxmi Nagar Store,DELIVERED,routed,SUB1001,PRD2001,Classic Burger,PRD2001,Burger Classic,179.0,EACH,1.0,9001,INV001,Burger Bun,12.0,5.5,5.0,10.0,5.2,12,11,Delhi,Area Manager A,Zonal Manager 1
10000000000002,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Delhi,ST101,Laxmi Nagar Store,DELIVERED,routed,SUB1002,PRD2001,Classic Burger,PRD2001,Burger Classic,179.0,EACH,1.0,9002,INV002,Chicken Patty,12.0,22.0,20.5,10.0,21.0,12,11,Delhi,Area Manager A,Zonal Manager 1
10000000000003,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Delhi,ST101,Laxmi Nagar Store,DELIVERED,routed,SUB1003,PRD2002,Loaded Fries,PRD2002,Fries Loaded,149.0,EACH,1.0,9003,INV003,Paper Napkin,20.0,0.2,0.18,18.0,0.19,20,18,Delhi,Area Manager A,Zonal Manager 1
10000000000004,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Delhi,ST102,Noida Sector 18 Store,DELIVERED,routed,SUB1004,PRD2001,Classic Burger,PRD2001,Burger Classic,179.0,EACH,1.0,9001,INV001,Burger Bun,15.0,5.5,5.0,13.0,5.2,15,14,Delhi,Area Manager A,Zonal Manager 1
10000000000005,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Delhi,ST102,Noida Sector 18 Store,DELIVERED,routed,SUB1005,PRD2001,Classic Burger,PRD2001,Burger Classic,179.0,EACH,1.0,9002,INV002,Chicken Patty,15.0,22.0,20.5,13.0,21.0,15,14,Delhi,Area Manager A,Zonal Manager 1
10000000000006,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST201,Bandra Store,DELIVERED,routed,SUB1006,PRD2003,Spicy Wrap,PRD2003,Wrap Spicy,169.0,EACH,1.0,9004,INV004,Tortilla Wrap,10.0,7.0,6.5,11.0,6.8,10,10,Maharashtra,Area Manager B,Zonal Manager 2
10000000000007,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST201,Bandra Store,DELIVERED,routed,SUB1007,PRD2002,Loaded Fries,PRD2002,Fries Loaded,149.0,EACH,1.0,9003,INV003,Paper Napkin,22.0,0.2,0.18,19.0,0.19,22,20,Maharashtra,Area Manager B,Zonal Manager 2
10000000000008,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST202,Powai Store,DELIVERED,routed,SUB1008,PRD2004,Veg Burger,PRD2004,Burger Veg,159.0,EACH,1.0,9001,INV001,Burger Bun,11.0,5.5,5.0,12.0,5.2,11,10,Maharashtra,Area Manager B,Zonal Manager 2
10000000000009,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST202,Powai Store,DELIVERED,routed,SUB1009,PRD2004,Veg Burger,PRD2004,Burger Veg,159.0,EACH,1.0,9005,INV005,Veg Patty,11.0,18.0,16.5,12.0,17.0,11,10,Maharashtra,Area Manager B,Zonal Manager 2
10000000000010,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Delhi,ST101,Laxmi Nagar Store,DELIVERED,routed,SUB1010,PRD2001,Classic Burger,PRD2001,Burger Classic,179.0,EACH,1.0,9001,INV001,Burger Bun,18.0,5.5,5.0,14.0,5.2,18,16,Delhi,Area Manager A,Zonal Manager 1
